customer_id,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn,tenure_group,avg_monthly_spend,revenue
4183-myfrb,female,0,no,no,21,yes,no,fiber optic,no,yes,yes,no,no,yes,month-to-month,yes,electronic check,90.05,1862.9,no,12-24,84.67727272727274,90.05
8779-qrdmv,male,1,no,no,1,no,no phone service,dsl,no,no,yes,no,no,yes,month-to-month,yes,electronic check,39.65,39.65,yes,0-6,19.825,39.65
1680-vdcww,male,0,yes,no,12,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,bank transfer (automatic),19.8,202.25,no,6-12,15.557692307692308,19.8
1066-jksgk,male,0,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.15,20.15,yes,0-6,10.075,20.15
3638-weabw,female,0,yes,no,58,yes,yes,dsl,no,yes,no,yes,no,no,two year,yes,credit card (automatic),59.9,3505.1,no,48+,59.40847457627118,59.9
6322-hrpfa,male,0,yes,yes,49,yes,no,dsl,yes,yes,no,yes,no,no,month-to-month,no,credit card (automatic),59.6,2970.3,no,48+,59.406000000000006,59.6
6865-jznko,female,0,no,no,30,yes,no,dsl,yes,yes,no,no,no,no,month-to-month,yes,bank transfer (automatic),55.3,1530.6,no,24-48,49.37419354838709,55.3
6467-chfzw,male,0,yes,yes,47,yes,yes,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic check,99.35,4749.15,yes,24-48,98.940625,99.35
8665-utdhz,male,0,yes,yes,1,no,no phone service,dsl,no,yes,no,no,no,no,month-to-month,no,electronic check,30.2,30.2,yes,0-6,15.1,30.2
5248-ygijn,male,0,yes,no,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,yes,credit card (automatic),90.25,6369.45,no,48+,87.2527397260274,90.25
8773-hhuoz,female,0,no,yes,17,yes,no,dsl,no,no,no,no,yes,yes,month-to-month,yes,mailed check,64.7,1093.1,yes,12-24,60.727777777777774,64.7
3841-nfecx,female,1,yes,no,71,yes,yes,fiber optic,yes,yes,yes,yes,no,no,two year,yes,credit card (automatic),96.35,6766.95,no,48+,93.98541666666667,96.35
4929-xihvw,male,1,yes,no,2,yes,no,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,credit card (automatic),95.5,181.65,no,0-6,60.550000000000004,95.5
6827-ieauq,female,0,yes,yes,27,yes,no,dsl,yes,yes,yes,yes,no,no,one year,no,mailed check,66.15,1874.45,no,24-48,66.94464285714285,66.15
7310-egvhz,male,0,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,bank transfer (automatic),20.2,20.2,no,0-6,10.1,20.2
3413-bmnze,male,1,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,bank transfer (automatic),45.25,45.25,no,0-6,22.625,45.25
6234-raapl,female,0,yes,yes,72,yes,yes,fiber optic,yes,yes,no,yes,yes,no,two year,no,bank transfer (automatic),99.9,7251.7,no,48+,99.33835616438355,99.9
6047-yhpvi,male,0,no,no,5,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,69.7,316.9,yes,0-6,52.81666666666666,69.7
6572-adkrs,female,0,no,no,46,yes,no,fiber optic,no,no,yes,no,no,no,month-to-month,yes,credit card (automatic),74.8,3548.3,no,24-48,75.49574468085106,74.8
5380-wjkov,male,0,no,no,34,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic check,106.35,3549.25,yes,24-48,101.40714285714286,106.35
8168-uqwwf,female,0,no,no,11,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,bank transfer (automatic),97.85,1105.4,yes,6-12,92.11666666666667,97.85
8865-tnmnx,male,0,yes,yes,10,yes,no,dsl,no,yes,no,no,no,no,one year,no,mailed check,49.55,475.7,no,6-12,43.24545454545454,49.55
9489-dedvp,female,0,yes,yes,70,yes,yes,dsl,yes,yes,no,no,yes,no,two year,yes,credit card (automatic),69.2,4872.35,no,48+,68.62464788732395,69.2
9867-jczsp,female,0,yes,yes,17,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,20.75,418.25,no,12-24,23.23611111111111,20.75
4671-vjlcl,female,0,no,no,63,yes,yes,dsl,yes,yes,yes,yes,yes,no,two year,yes,credit card (automatic),79.85,4861.45,no,48+,75.96015625,79.85
4080-iiard,female,0,yes,no,13,yes,yes,dsl,yes,yes,no,yes,yes,no,month-to-month,yes,electronic check,76.2,981.45,no,12-24,70.10357142857143,76.2
3714-ntnfo,female,0,no,no,49,yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,84.5,3906.7,no,48+,78.134,84.5
5948-ujzlf,male,0,no,no,2,yes,no,dsl,no,yes,no,no,no,no,month-to-month,no,mailed check,49.25,97.0,no,0-6,32.333333333333336,49.25
7760-oypdy,female,0,no,no,2,yes,no,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,80.65,144.15,yes,0-6,48.050000000000004,80.65
7639-liayi,male,0,no,no,52,yes,yes,dsl,yes,no,no,yes,yes,yes,two year,yes,credit card (automatic),79.75,4217.8,no,48+,79.5811320754717,79.75
2954-pibko,female,0,yes,yes,69,yes,yes,dsl,yes,no,yes,yes,no,no,two year,yes,credit card (automatic),64.15,4254.1,no,48+,60.77285714285715,64.15
8012-soudq,female,1,no,no,43,yes,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,yes,electronic check,90.25,3838.75,no,24-48,87.24431818181819,90.25
9420-lojkx,female,0,no,no,15,yes,no,fiber optic,yes,yes,no,no,yes,yes,month-to-month,yes,credit card (automatic),99.1,1426.4,yes,12-24,89.15,99.1
6575-suvoi,female,1,yes,no,25,yes,yes,dsl,yes,no,no,yes,yes,no,month-to-month,yes,credit card (automatic),69.5,1752.65,no,24-48,67.40961538461539,69.5
7495-ookfy,female,1,yes,no,8,yes,yes,fiber optic,no,yes,no,no,no,no,month-to-month,yes,credit card (automatic),80.65,633.3,yes,6-12,70.36666666666666,80.65
4667-qonea,female,1,yes,yes,60,yes,no,dsl,yes,yes,yes,yes,no,yes,one year,yes,credit card (automatic),74.85,4456.35,no,48+,73.05491803278689,74.85
1658-bygoy,male,1,no,no,18,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,95.45,1752.55,yes,12-24,92.23947368421052,95.45
8769-kktph,female,0,yes,yes,63,yes,yes,fiber optic,yes,no,no,no,yes,yes,one year,yes,credit card (automatic),99.65,6311.2,no,48+,98.6125,99.65
5067-xjqfu,male,1,yes,yes,66,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,one year,yes,electronic check,108.45,7076.35,no,48+,105.61716417910448,108.45
3957-sqxml,female,0,yes,yes,34,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),24.95,894.3,no,24-48,25.55142857142857,24.95
5954-bdfsg,female,0,no,no,72,yes,yes,fiber optic,no,no,yes,yes,yes,yes,two year,yes,credit card (automatic),107.5,7853.7,no,48+,107.58493150684932,107.5
0434-csfon,female,0,yes,no,47,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,100.5,4707.1,no,24-48,98.06458333333335,100.5
1215-figmp,male,0,no,no,60,yes,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,yes,bank transfer (automatic),89.9,5450.7,no,48+,89.35573770491803,89.9
0526-sxdjp,male,0,yes,no,72,no,no phone service,dsl,yes,yes,yes,no,no,no,two year,no,bank transfer (automatic),42.1,2962.0,no,48+,40.57534246575342,42.1
0557-askvu,female,0,yes,yes,18,yes,no,dsl,no,no,yes,yes,no,no,one year,yes,credit card (automatic),54.4,957.1,no,12-24,50.373684210526314,54.4
5698-bqjoh,female,0,no,no,9,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,no,electronic check,94.4,857.25,yes,6-12,85.725,94.4
5122-cyfxa,female,0,no,no,3,yes,no,dsl,no,yes,no,yes,yes,yes,month-to-month,yes,electronic check,75.3,244.1,no,0-6,61.025,75.3
8627-zygsz,male,0,yes,no,47,yes,yes,fiber optic,no,yes,no,no,no,no,one year,yes,electronic check,78.9,3650.35,no,24-48,76.04895833333333,78.9
3410-yoqbq,female,0,no,no,31,yes,no,dsl,no,yes,yes,yes,yes,yes,two year,no,mailed check,79.2,2497.2,no,24-48,78.0375,79.2
3170-nmyvv,female,0,yes,yes,50,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),20.15,930.9,no,48+,18.25294117647059,20.15
7410-oiedu,male,0,no,no,10,yes,no,fiber optic,yes,no,yes,no,no,no,month-to-month,yes,mailed check,79.85,887.35,no,6-12,80.66818181818182,79.85
2273-qckxa,male,0,no,no,1,yes,no,dsl,no,no,no,yes,no,no,month-to-month,no,mailed check,49.05,49.05,no,0-6,24.525,49.05
0731-ebjqb,female,0,yes,yes,52,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,electronic check,20.4,1090.65,no,48+,20.578301886792456,20.4
1891-qrqsa,male,1,yes,yes,64,yes,yes,fiber optic,yes,no,yes,yes,yes,yes,two year,yes,bank transfer (automatic),111.6,7099.0,no,48+,109.21538461538462,111.6
8028-pnxhq,male,0,yes,yes,62,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer (automatic),24.25,1424.6,no,48+,22.61269841269841,24.25
5630-ahzil,female,0,no,yes,3,yes,no,dsl,yes,no,no,yes,no,yes,month-to-month,yes,bank transfer (automatic),64.5,177.4,no,0-6,44.35,64.5
2673-cxqeu,female,1,no,no,56,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,one year,no,electronic check,110.5,6139.5,no,48+,107.71052631578948,110.5
6416-jnvrk,female,0,no,no,46,yes,no,dsl,no,no,no,no,no,yes,one year,no,credit card (automatic),55.65,2688.85,no,24-48,57.2095744680851,55.65
5590-zskrv,female,0,yes,yes,8,yes,no,dsl,yes,yes,no,no,no,no,month-to-month,no,mailed check,54.65,482.25,no,6-12,53.583333333333336,54.65
0191-zhskz,male,1,no,no,30,yes,no,dsl,yes,yes,no,no,yes,yes,month-to-month,yes,electronic check,74.75,2111.3,no,24-48,68.10645161290323,74.75
3887-pbqao,female,0,yes,yes,45,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,credit card (automatic),25.9,1216.6,no,24-48,26.44782608695652,25.9
5919-tmrgd,female,0,no,yes,1,yes,no,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,79.35,79.35,yes,0-6,39.675,79.35
8108-uxrqn,female,0,yes,yes,11,no,no phone service,dsl,yes,no,no,no,yes,yes,month-to-month,no,electronic check,50.55,565.35,no,6-12,47.112500000000004,50.55
9191-myqkx,female,0,yes,no,7,yes,no,fiber optic,no,no,yes,no,no,no,month-to-month,yes,bank transfer (automatic),75.15,496.9,yes,6-12,62.1125,75.15
9919-ylnng,female,0,no,no,42,yes,no,fiber optic,no,yes,yes,yes,yes,yes,month-to-month,yes,bank transfer (automatic),103.8,4327.5,no,24-48,100.63953488372093,103.8
0318-zopws,female,0,yes,no,49,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer (automatic),20.15,973.35,no,48+,19.467,20.15
4445-zjnmu,male,0,no,no,9,yes,yes,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,credit card (automatic),99.3,918.75,no,6-12,91.875,99.3
4808-ynleu,female,0,yes,no,35,yes,no,dsl,yes,no,no,no,yes,no,one year,yes,bank transfer (automatic),62.15,2215.45,no,24-48,61.540277777777774,62.15
1862-qrwpe,female,0,yes,yes,48,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),20.65,1057.0,no,24-48,21.571428571428573,20.65
2796-nnufi,female,0,yes,yes,46,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,19.95,927.1,no,24-48,19.72553191489362,19.95
3016-ksvcp,male,0,yes,no,29,no,no phone service,dsl,no,no,no,no,yes,no,month-to-month,no,mailed check,33.75,1009.25,no,24-48,33.641666666666666,33.75
4767-hzzhq,male,0,yes,yes,30,yes,no,fiber optic,no,yes,yes,no,no,no,month-to-month,no,bank transfer (automatic),82.05,2570.2,no,24-48,82.90967741935484,82.05
2424-wvhpl,male,1,no,no,1,yes,no,fiber optic,no,no,no,yes,no,no,month-to-month,no,electronic check,74.7,74.7,no,0-6,37.35,74.7
7233-pahhl,male,0,yes,yes,66,yes,yes,dsl,yes,no,yes,yes,yes,yes,two year,yes,mailed check,84.0,5714.25,no,48+,85.28731343283582,84.0
6067-ngceu,female,0,no,no,65,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,month-to-month,yes,credit card (automatic),111.05,7107.0,no,48+,107.68181818181819,111.05
9848-jqjtx,male,0,no,no,72,yes,yes,fiber optic,no,yes,yes,no,yes,yes,two year,yes,bank transfer (automatic),100.9,7459.05,no,48+,102.17876712328767,100.9
8637-xjivr,female,0,no,no,12,yes,yes,fiber optic,yes,no,no,no,no,no,month-to-month,yes,electronic check,78.95,927.35,yes,6-12,71.33461538461539,78.95
9803-ftjcg,male,0,yes,yes,71,yes,yes,dsl,yes,yes,no,yes,no,no,one year,yes,credit card (automatic),66.85,4748.7,no,48+,65.95416666666667,66.85
0278-yxoog,male,0,no,no,5,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,21.05,113.85,yes,0-6,18.974999999999998,21.05
3212-kxocr,male,0,no,no,52,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),21.0,1107.2,no,48+,20.89056603773585,21.0
4598-xlknj,female,1,yes,no,25,yes,no,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic check,98.5,2514.5,yes,24-48,96.71153846153847,98.5
6380-arceh,male,0,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.2,20.2,no,0-6,10.1,20.2
3679-xaspy,female,0,yes,yes,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,electronic check,19.45,19.45,no,0-6,9.725,19.45
7123-wquhx,male,0,no,no,38,yes,yes,fiber optic,no,no,yes,yes,yes,no,one year,no,bank transfer (automatic),95.0,3605.6,no,24-48,92.45128205128205,95.0
5386-thslq,female,1,yes,no,66,no,no phone service,dsl,no,yes,yes,no,yes,no,one year,no,bank transfer (automatic),45.55,3027.25,no,48+,45.18283582089552,45.55
3192-nqeca,male,0,yes,no,68,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),110.0,7611.85,yes,48+,110.31666666666668,110.0
6180-ybiqi,male,0,no,no,5,no,no phone service,dsl,no,no,no,no,no,no,month-to-month,no,mailed check,24.3,100.2,no,0-6,16.7,24.3
6728-dkuco,female,0,yes,yes,72,yes,yes,fiber optic,yes,yes,no,no,yes,yes,one year,yes,electronic check,104.15,7303.05,no,48+,100.04178082191781,104.15
9750-boohv,female,0,no,no,32,no,no phone service,dsl,yes,no,no,no,no,no,one year,no,mailed check,30.15,927.65,no,24-48,28.11060606060606,30.15
8597-cwyhh,male,0,no,no,43,yes,yes,fiber optic,no,no,no,no,yes,yes,one year,no,mailed check,94.35,3921.3,no,24-48,89.12045454545455,94.35
2848-yxsmw,male,0,yes,yes,72,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),19.4,1363.25,no,48+,18.674657534246574,19.4
0486-heczi,male,0,yes,no,55,yes,yes,fiber optic,yes,yes,no,no,yes,no,month-to-month,yes,electronic check,96.75,5238.9,yes,48+,93.55178571428571,96.75
4549-zdqyy,female,0,no,no,52,yes,no,dsl,yes,no,yes,yes,no,no,one year,no,credit card (automatic),57.95,3042.25,no,48+,57.40094339622642,57.95
5712-ahqnn,female,0,no,no,43,yes,no,fiber optic,no,yes,yes,no,yes,no,month-to-month,yes,electronic check,91.65,3954.1,no,24-48,89.86590909090908,91.65
4846-whafz,female,1,yes,no,37,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,76.5,2868.15,yes,24-48,75.47763157894737,76.5
5256-skjgo,female,0,yes,yes,64,no,no phone service,dsl,no,yes,no,yes,yes,yes,two year,yes,electronic check,54.6,3423.5,no,48+,52.66923076923077,54.6
3071-vbypo,male,0,yes,yes,3,yes,no,fiber optic,yes,yes,no,no,yes,no,month-to-month,no,electronic check,89.85,248.4,no,0-6,62.1,89.85
9560-bbzxk,female,0,no,no,36,no,no phone service,dsl,yes,no,no,no,no,no,two year,no,bank transfer (automatic),31.05,1126.35,no,24-48,30.44189189189189,31.05
5299-ruloa,female,0,yes,yes,10,yes,yes,fiber optic,yes,no,no,no,yes,yes,month-to-month,yes,electronic check,100.25,1064.65,yes,6-12,96.78636363636365,100.25
8402-ooohj,female,0,no,no,41,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,20.65,835.15,no,24-48,19.88452380952381,20.65
9445-zueqe,male,0,yes,yes,27,yes,yes,fiber optic,no,yes,no,yes,no,no,month-to-month,yes,credit card (automatic),85.2,2151.6,no,24-48,76.84285714285714,85.2
1091-sozga,female,0,yes,yes,56,yes,yes,fiber optic,no,no,yes,no,yes,yes,one year,yes,credit card (automatic),99.8,5515.45,no,48+,96.76228070175438,99.8
2928-hldba,female,0,no,no,6,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.7,112.75,no,0-6,16.107142857142858,20.7
0404-swrvg,male,0,no,no,3,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,74.4,229.55,yes,0-6,57.3875,74.4
6497-tilvl,female,0,yes,yes,7,yes,no,dsl,yes,no,no,no,no,no,month-to-month,no,mailed check,50.7,350.35,no,6-12,43.79375,50.7
7219-tlzho,female,0,yes,yes,4,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.85,62.9,no,0-6,12.58,20.85
4622-ynkij,male,0,no,no,33,yes,no,fiber optic,yes,no,no,yes,yes,no,two year,yes,electronic check,88.95,3027.65,no,24-48,89.0485294117647,88.95
4412-yltkf,female,1,no,no,27,yes,yes,fiber optic,no,no,yes,no,no,no,month-to-month,yes,electronic check,78.05,2135.5,yes,24-48,76.26785714285714,78.05
6734-psbaw,male,0,yes,no,72,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer (automatic),23.55,1723.95,no,48+,23.615753424657534,23.55
3930-zgwve,male,0,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.75,19.75,no,0-6,9.875,19.75
2639-ugmaz,male,1,no,no,71,no,no phone service,dsl,yes,yes,no,no,yes,yes,one year,yes,electronic check,56.45,3985.35,no,48+,55.35208333333333,56.45
2876-gzyzc,female,0,no,no,13,yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,85.95,1215.65,no,12-24,86.83214285714287,85.95
6207-wiolx,female,0,yes,yes,25,no,no phone service,dsl,yes,yes,yes,no,yes,yes,month-to-month,yes,credit card (automatic),58.6,1502.65,yes,24-48,57.79423076923077,58.6
8587-xyzsf,male,0,no,no,67,yes,no,dsl,no,no,no,yes,no,no,two year,no,bank transfer (automatic),50.55,3260.1,no,48+,47.942647058823525,50.55
3091-fyhki,male,0,no,no,1,no,no phone service,dsl,no,no,no,no,no,yes,month-to-month,yes,electronic check,35.45,35.45,yes,0-6,17.725,35.45
2372-hwuhi,male,0,no,no,2,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,electronic check,44.35,81.25,yes,0-6,27.083333333333332,44.35
7799-lgrdp,female,0,no,no,43,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,credit card (automatic),25.7,1188.2,no,24-48,27.004545454545454,25.7
7850-vwjuu,female,0,no,no,23,yes,no,fiber optic,yes,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),75.0,1778.5,no,12-24,74.10416666666667,75.0
3774-vbnxy,female,0,yes,yes,64,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,20.2,1277.75,no,48+,19.657692307692308,20.2
6217-kdywc,male,0,no,yes,57,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,19.6,1170.55,no,48+,20.181896551724137,19.6
0390-dcfdq,female,1,yes,no,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,mailed check,70.45,70.45,yes,0-6,35.225,70.45
3146-msegf,female,1,yes,yes,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,yes,credit card (automatic),88.05,6425.65,no,48+,88.02260273972603,88.05
4080-ogpjl,female,0,no,no,8,yes,yes,dsl,yes,no,no,yes,no,yes,month-to-month,no,electronic check,71.15,563.65,yes,6-12,62.62777777777777,71.15
1095-wgngg,female,0,yes,no,61,yes,yes,fiber optic,no,yes,no,no,yes,yes,two year,yes,bank transfer (automatic),101.05,5971.25,no,48+,96.31048387096774,101.05
2636-sjdou,male,0,no,no,64,yes,yes,fiber optic,yes,yes,no,no,no,no,one year,yes,credit card (automatic),84.3,5289.05,no,48+,81.37,84.3
1131-qqzeb,male,1,yes,no,71,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),23.95,1756.2,no,48+,24.391666666666666,23.95
5716-ezxzn,female,0,yes,yes,65,yes,yes,fiber optic,yes,yes,no,yes,yes,no,two year,yes,credit card (automatic),99.05,6416.7,no,48+,97.22272727272727,99.05
6837-bjydq,male,0,no,no,3,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,19.6,61.35,no,0-6,15.3375,19.6
2135-rxihg,male,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,45.65,45.65,yes,0-6,22.825,45.65
6440-dkqge,male,0,no,yes,30,yes,no,dsl,no,yes,yes,no,yes,no,one year,no,credit card (automatic),64.5,1929.95,no,24-48,62.25645161290323,64.5
3466-byavd,male,0,yes,yes,15,yes,no,dsl,no,yes,yes,yes,no,yes,month-to-month,yes,mailed check,69.5,1071.4,no,12-24,66.9625,69.5
3780-yvmfa,female,0,yes,yes,8,yes,no,dsl,no,no,no,yes,yes,yes,month-to-month,yes,electronic check,68.55,564.35,no,6-12,62.705555555555556,68.55
3874-eqoep,male,0,no,no,7,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,no,mailed check,95.0,655.5,yes,6-12,81.9375,95.0
1679-jrfbr,female,0,yes,yes,70,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,one year,yes,credit card (automatic),108.15,7930.55,no,48+,111.69788732394366,108.15
9073-zziay,male,0,yes,yes,62,yes,no,dsl,yes,yes,yes,yes,yes,yes,two year,no,electronic check,86.1,5215.25,no,48+,82.78174603174604,86.1
3077-rsntj,female,0,yes,yes,6,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.7,113.5,no,0-6,16.214285714285715,19.7
6551-gnydg,female,0,yes,yes,14,yes,no,fiber optic,no,no,no,no,no,yes,month-to-month,yes,bank transfer (automatic),80.9,1152.8,no,12-24,76.85333333333332,80.9
9167-apmxz,female,0,no,no,22,yes,yes,fiber optic,no,no,no,no,yes,no,month-to-month,yes,bank transfer (automatic),84.15,1821.95,no,12-24,79.21521739130435,84.15
2749-ctkaj,male,0,yes,yes,22,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,20.15,419.9,no,12-24,18.256521739130434,20.15
